Date,REA.AX,WTC.AX,XRO.AX,CPU.AX,SEK.AX,CAR.AX,NXT.AX,PME.AX,ALU.AX
2019-02-18,,,,0.207942,,,,,
2019-02-28,,,,,,,,,0.16
2019-03-03,0.55,,,,,,,,
2019-03-06,,,,,,,,0.035,
2019-03-07,,0.015,,,,,,,
2019-03-11,,,,,,,,0.025,
2019-03-18,,,,,,0.201699,,,
2019-03-24,,,,,0.24,,,,
2019-08-20,,,,0.227746,,,,,
2019-08-29,0.63,,,,,,,,
2019-09-03,,,,,,,,,0.18
2019-09-06,,0.0195,,,,,,,
2019-09-11,,,,,0.22,,,,
2019-09-12,,,,,,,,0.045,
2019-09-24,,,,,,0.245975,,,
2020-02-17,,,,0.227746,,,,,
2020-02-27,,,,,,,,,0.2
2020-03-04,,,,,,,,0.06,
2020-03-05,,0.017,,,,,,,
2020-03-08,0.55,,,,,,,,
2020-03-17,,,,,,0.216458,,,
2020-03-24,,,,,0.13,,,,
2020-08-18,,,,0.227746,,,,,
2020-08-27,0.55,,,,,,,,
2020-09-03,,,,,,,,,0.19
2020-09-04,,0.016,,,,,,,
2020-09-10,,,,,,,,0.06,
2020-09-22,,,,,,0.245975,,,
2021-02-15,,,,0.227746,,,,,
2021-02-28,,,,,,,,,0.19
2021-03-03,,,,,,,,0.07,
2021-03-07,0.59,,,,,,,,
2021-03-11,,0.027,,,,,,,
2021-03-22,,,,,,0.245975,,,
2021-05-10,,,,,0.2,,,,
2021-08-17,,,,0.23,,,,,
2021-08-26,0.72,,,,,,,,
2021-09-06,,,,,,,,,0.21
2021-09-08,,,,,0.2,,,,
2021-09-09,,,,,,,,0.08,
2021-09-10,,0.0385,,,,,,,
2021-09-17,,,,,,0.225,,,
2022-02-14,,,,0.24,,,,,
2022-03-02,,,,,,,,0.1,
2022-03-06,0.75,,,,,,,,0.21
2022-03-10,,0.0475,,,,,,,
2022-03-17,,,,,,0.255,,,
2022-03-22,,,,,0.23,,,,
